NAME,SIMBADNAME,SIMBADURL,DATE,MASS,R,BMV,MSTAR,RSTAR,TEFF,A,PER,ECC,DIST,NCOMP,PLANETDISCMETH
HD 218566 b,LHS 3900,http://simbad.harvard.edu/simbad/sim-id?Ident=LHS+3900,2011,0.212872,,1.013,0.85,0.590728,4820,0.687282,225.7,0.3,28.5551,1,RV
HD 45364 b,HD 45364,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+45364,2009,0.187149,,0.72,0.82,1.02464,5434,0.68156,226.93,0.1684,32.6904,2,RV
Kepler-361 b,Kepler-361,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-361,2014,0.010538,0.12936,,,1.343,6169,0.081426,8.486616,,,2,Transit
Kepler-318 c,Kepler-318,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-318,2014,0.0419521,0.328308,,,1.189,5746,0.101523,11.815007,,,2,Transit
Kepler-372 b,Kepler-372,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-372,2014,0.00850717,0.121331,,,1.137,6509,0.0705863,6.849692,,,3,Transit
Kepler-197 e,Kepler-197,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-197,2014,0.00208313,0.0811848,,,1.12,6004,0.168262,25.209715,,,4,Transit
HD 141937 b,HD 141937,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+141937,2002,9.4752,,0.628,1.048,1.06384,5846.82,1.50087,653.21997,0.41,32.2997,1,RV
Kepler-405 c,Kepler-405,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-405,2014,0.071727,0.415737,,,0.893,5818,0.187804,29.726682,,,2,Transit
Kepler-104 d,Kepler-104,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-104,2014,0.0392746,0.319386,,,1.349,5711,0.271796,51.755394,,,2,Transit
Kepler-26 d,Kepler-26,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-26,2014,0.00371234,0.095459,,,0.571,4486,0.0454914,3.543919,,,4,Transit
Kepler-159 b,Kepler-159,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-159,2014,0.0183139,0.212329,,,0.663,4625,0.0916828,10.139623,,,2,Transit
HD 156668 b,HD 156668,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+156668,2011,0.0130582,,1.015,0.772,0.728691,4850,0.0499846,4.6455,0,24.4738,1,RV
Kepler-32 f,Kepler-32,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-32,2012,0.00143611,0.0730903,,0.54,0.53,3793,0.0130732,0.74296,0,303,5,Transit
WASP-103 b,,,2014,1.48791,1.528,,1.22,1.436,6110,0.0198682,0.925542,0,470,1,Transit
