NAME,SIMBADNAME,SIMBADURL,DATE,MASS,R,BMV,MSTAR,RSTAR,TEFF,A,PER,ECC,DIST,NCOMP,PLANETDISCMETH
GJ 3341 b,LHS 1748,http://simbad.harvard.edu/simbad/sim-id?Ident=LHS+1748,2015,0.0208212,,,0.47,0.439,3526,0.0892579,14.207,0.31,,1,RV
WASP-22 b,WASP-22,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-22,2010,0.559059,1.12,0.39,1.1,1.13,6000,0.0468682,3.53269,0.023,303.03,1,Transit
WASP-2 b,WASP-2,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-2,2007,0.908659,1.077,1.02,0.88,0.84,5200,0.0312729,2.1522254,0,165.837,1,Transit
Kepler-392 b,Kepler-392,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-392,2014,0.00291583,0.089214,,,1.129,5938,0.0598046,5.341853,,,2,Transit
Kepler-247 c,Kepler-247,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-247,2014,0.0548224,0.364885,,,0.768,5100,0.087412,9.439452,,,3,Transit
HD 164922 b,HD 164922,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+164922,2006,0.357927,,0.799,0.927,0.899472,5385.36,2.10091,1155,0.05,22.119,1,RV
Kepler-271 b,Kepler-271,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-271,2014,0.00192504,0.0794005,,,0.88,5524,0.0588746,5.217738,,,2,Transit
Kepler-30 c,Kepler-30,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-30,2011,2.01385,1.09635,,0.99,0.95,5498,0.300013,60.3231,0.0111,,3,Transit
Kepler-190 c,Kepler-190,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-190,2014,0.0107805,0.130252,,,0.795,5106,0.0473476,3.763024,,,2,Transit
tau Gru b,HD 216435,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+216435,2003,1.2147,,0.621,1.238,1.54911,5999.24,2.51797,1311,0.07,32.6158,1,RV
WASP-34 b,CD-23 9677,http://simbad.harvard.edu/simbad/sim-id?Ident=CD-23+9677,2011,0.583354,1.22,0.77,1.01,0.93,5700,0.0520747,4.3176782,0.038,120,1,Transit
Kepler-397 c,Kepler-397,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-397,2014,0.100676,0.551343,,,0.767,5307,0.516293,135.498527,,,2,Transit
HD 96063 b,HD 96063,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+96063,2011,1.14167,,0.86,1.41,3.66196,5131,1.11312,361.1,0,158,1,RV
Kepler-423 b,2MASS J19312537+4623282,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J19312537%2B4623282,2014,1,1.2,,1.07,0.99,5790,0.038671,2.68432848,0.0102,,1,Transit
HAT-P-22 b,HD 233731,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+233731,2011,2.15137,1.08,0.86,0.916,1.04,5302,0.0414094,3.21222,0.016,82.0001,1,Transit
WASP-28 b,2MASS J23342787-0134482,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J23342787-0134482,2014,0.907,1.213,0.47,1.021,1.094,6150,0.0446486,3.40883,0,410,1,Transit
Kepler-221 b,Kepler-221,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-221,2014,0.0126401,0.152556,,,0.821,5243,0.0388408,2.795906,,,4,Transit
CoRoT-7 b,CoRoT-Exo-7,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-Exo-7,2009,0.014,0.143989,0.856,0.93,0.87,5275,0.0171898,0.85359163,0,149.925,1,Transit
HD 5608 b,HD 5608,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+5608,2012,1.47372,,0.991,1.66,5.5,4911,1.98519,792.6,0.19,56.3698,1,RV
Kepler-172 e,Kepler-172,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-172,2014,0.0230631,0.246231,,,1.085,5526,0.209877,35.118736,,,4,Transit
Kepler-178 b,Kepler-178,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-178,2014,0.025195,0.258721,,,1.066,5676,0.0882572,9.576694,,,3,Transit
Kepler-147 c,Kepler-147,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-147,2014,0.0188614,0.21679,,,1.468,6012,0.203039,33.416423,,,2,Transit
HATS-1 b,HATS-1,http://simbad.harvard.edu/simbad/sim-id?Ident=HATS-1,2013,1.86507,1.302,0.686999,0.986,1.038,5870,0.0444708,3.446459,0.12,303,1,Transit
Kepler-378 c,Kepler-378,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-378,2014,0.00082692,0.0624498,,,0.671,4661,0.184331,28.906009,,,2,Transit
HD 80606 b,HD 80606,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+80606,2001,3.89054,1.029,0.765,0.958,0.98,5572.51,0.447343,111.4367,0.934,58.4795,1,RV
Kepler-158 b,Kepler-158,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-158,2014,0.0157841,0.189134,,,0.624,4623,0.127912,16.709184,,,2,Transit
Kepler-45 b,KOI-254,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-254,2011,0.511499,0.96,,0.59,0.55,3820,0.0298817,2.455239,0.11,333,1,Transit
Kepler-68 b,Kepler-68,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-68,2011,0.026183,0.205901,0.65,1.079,1.243,5793,0.0617749,5.398763,0,135,3,Transit
Kepler-308 b,Kepler-308,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-308,2014,0.0157841,0.189134,,,0.941,5895,0.0889821,9.694928,,,2,Transit
WASP-78 b,WASP-78,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-78,2012,0.883997,1.7,0.69,1.33,2.2,6100,0.0361391,2.17517656,0,550,1,Transit
Kepler-108 c,Kepler-108,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-108,2014,0.224011,0.729771,,,2.192,5854,0.647542,190.323494,,,2,Transit
HD 86264 b,HD 86264,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+86264,2009,6.62738,,0.46,1.4,1.49917,6326,2.84117,1475,0.7,68.7758,1,RV
Kepler-266 c,Kepler-266,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-266,2014,0.0481581,0.347043,,,1.028,5885,0.443078,107.723601,,,2,Transit
Kepler-239 c,Kepler-239,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-239,2014,0.019783,0.223927,,,0.763,4914,0.287238,56.228098,,,2,Transit
HD 82943 c,HD 82943,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+82943,2004,1.58936,,0.623,1.133,1.09738,5997.1,0.742283,219.3,0.425,27.4725,2,RV
Kepler-205 c,Kepler-205,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-205,2014,0.0121773,0.146311,,,0.546,4321,0.145668,20.306546,,,2,Transit
Kepler-319 b,Kepler-319,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-319,2014,0.0121124,0.145419,,,0.903,5526,0.0522529,4.362705,,,3,Transit
Kepler-162 c,Kepler-162,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-162,2014,0.0273861,0.270319,,,0.958,5816,0.141525,19.446355,,,2,Transit
Kepler-126 c,Kepler-126,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-126,2014,0.0117926,0.140958,,,1.358,6239,0.153051,21.869741,,,3,Transit
HD 216536 b,HD 216536,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+216536,2015,1.48058,,,1.36,12.5,4639,0.608531,148.6,0.38,,1,RV
Kepler-384 c,Kepler-384,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-384,2014,0.00450004,0.100812,,,0.882,5577,0.248874,45.348269,,,2,Transit
iota Hor b,iota Hor,http://simbad.harvard.edu/simbad/sim-id?Ident=iota+Hor,2000,2.04683,,0.561,1.145,1.21047,6097.36,0.92376,302.8,0.14,17.1674,1,RV
HD 37124 d,HD 37124,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+37124,2005,0.68665,,0.667,0.85,0.772275,5500.24,2.80658,1862,0.16,33.67,3,RV
HD 192263 b,HD 192263,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+192263,2000,0.639382,,0.938,0.804,0.7401,4975.16,0.152945,24.3556,0.055,19.3162,1,RV
K2-3 c,,,2015,0.0129801,0.157,1.35,0.601,0.561,3896,0.139869,24.6454,,45,3,Transit
HD 204313 b,HD 204313,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+204313,2010,3.50088,,0.697,1.045,1.12584,5767,3.07131,1920.1,0.23,47.3709,2,RV
Kepler-212 c,Kepler-212,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-212,2014,0.0227766,0.244446,,,1.455,5852,0.196459,31.805174,,,2,Transit
Kepler-53 c,Kepler-53,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-53,2011,0.0299365,0.282556,,0.98,0.89,5858,0.221868,38.5583038,,,3,Transit
Kepler-321 b,Kepler-321,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-321,2014,0.0130508,0.157909,,,1.194,5740,0.0565776,4.915379,,,2,Transit
Kepler-402 d,Kepler-402,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-402,2014,0.00893492,0.123115,,,1.264,6090,0.0841819,8.921099,,,4,Transit
Kepler-339 d,Kepler-339,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-339,2014,0.00508144,0.10438,,,0.802,5631,0.0941898,10.558345,,,3,Transit
Kepler-407 b,KOI-1442,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-1442,2014,0,0.095459,,1,0.1,5476,0.0149747,0.6693109,0,,1,Transit
TrES-3 b,GSC 03089-00929,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+03089-00929,2007,1.91,1.336,0.712,0.915,0.812,5650,0.0227178,1.30619,0,245.098,1,Transit
Kepler-188 b,Kepler-188,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-188,2014,0.0124398,0.14988,,,1.141,6021,0.0317043,2.061897,,,2,Transit
HIP 14810 b,HIP 14810,http://simbad.harvard.edu/simbad/sim-id?Ident=HIP+14810,2006,3.87441,,0.777,0.99,1.31998,5485,0.0692271,6.673859,0.142483,53.4474,3,RV
Kepler-10 c,Kepler-10,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-10,2011,0.054117,0.209653,,0.895,1.056,5627,0.239656,45.29485,,173,2,Transit
HD 90156 b,HD 90156,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+90156,2011,0.0565295,,0.66,0.84,0.920961,5599,0.249855,49.77,0.31,22.3514,1,RV
Kepler-259 c,Kepler-259,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-259,2014,0.0222169,0.240878,,,0.898,5938,0.217013,36.924931,,,2,Transit
Kepler-444 b,BD+41 3306,http://simbad.harvard.edu/simbad/sim-id?Ident=BD%2B41+3306,2010,0.000134008,0.0367,,0.758,0.752,5046,0.0419153,3.6001053,0.16,35.7,5,Transit
Kepler-304 d,Kepler-304,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-304,2014,0.0229193,0.245339,,,0.687,4731,0.0887283,9.653471,,,3,Transit
Kepler-150 e,Kepler-150,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-150,2014,0.0290307,0.278348,,,0.939,5560,0.192408,30.826557,,,4,Transit
Kepler-218 c,Kepler-218,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-218,2014,0.029411,0.280132,,,1.063,5502,0.246495,44.699576,,,2,Transit
Pr 211 b,2MASS J08421149+1916373,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J08421149%2B1916373,2012,1.84394,,0.870001,0.952,0.868,5326,0.0320419,2.1451,0,170,1,RV
Kepler-203 b,Kepler-203,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-203,2014,0.0205131,0.22928,,,1.114,5821,0.0421675,3.162697,,,3,Transit
Kepler-6 b,2MASS J19472094+4814238,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J19472094%2B4814238,2010,0.669376,1.323,,1.209,1.391,5647,0.0456089,3.234723,0,,1,Transit
Kepler-244 d,Kepler-244,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-244,2014,0.0175824,0.206084,,,0.803,5554,0.14444,20.050401,,,3,Transit
24 Sex c,24 Sex,http://simbad.harvard.edu/simbad/sim-id?Ident=24+Sex,2011,1.51716,,0.92,1.81,3.92062,5069,2.24032,910,0.412,77.4593,2,RV
Kepler-358 b,Kepler-358,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-358,2014,0.0224946,0.242662,,,0.954,5908,0.20564,34.060467,,,2,Transit
Kepler-373 c,Kepler-373,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-373,2014,0.00621274,0.110625,,,0.845,5787,0.127997,16.725948,,,2,Transit
HD 60532 c,HD 60532,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+60532,2008,2.46312,,0.52,1.44,2.35065,6095,1.57999,604,0.02,25.2972,2,RV
Kepler-299 b,Kepler-299,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-299,2014,0.00769114,0.117763,,,1.032,5617,0.0400468,2.927128,,,4,Transit
Kepler-140 c,Kepler-140,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-140,2014,0.0132614,0.160585,,,1.288,6077,0.396968,91.353282,,,2,Transit
Kepler-23 d,Kepler-23,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-23,2014,0.0165098,0.196271,,,1.548,5828,0.12048,15.274299,,,3,Transit
WASP-95 b,WASP_95,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP_95,2013,1.13,1.21,,1.11,1.13,5830,0.0341288,2.184673,0,,1,Transit
HD 68988 b,HD 68988,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+68988,2002,1.79992,,0.652,1.124,1.10962,5960.48,0.0692771,6.27711,0.1249,54.5256,1,RV
Kepler-84 b,Kepler-84,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-84,2012,0.0172355,0.203,,1,1.43,5755,0.08295,8.726,,,5,Transit
HAT-P-26 b,TYC 320-1027-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+320-1027-1,2011,0.0586489,0.565,0.89,0.816,0.788,5079,0.0478684,4.234516,0.124,134,1,Transit
Kepler-292 f,Kepler-292,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-292,2014,0.0179955,0.209653,,,0.826,5299,0.148181,20.834237,,,5,Transit
Kepler-20 e,Kepler-20,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-20,2011,0.00175601,0.0773688,0.9,0.912,0.944,5466,0.063351,6.098493,0,290,5,Transit
Kepler-296 d,Kepler-296,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-296,2014,0.0172808,0.203408,,,0.557,4249,0.143477,19.850242,,,5,Transit
HD 149143 b,HD 149143,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+149143,2006,1.32811,,0.714,1.2,1.71219,5884,0.0530508,4.072,0.016,62.0347,1,RV
Kepler-62 d,Kepler-62,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-62,2011,0,0.173812,0.599999,0.69,0.64,4925,0.119499,18.16406,0.0948683,368,5,Transit
HD 79498 b,HD 79498,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+79498,2012,1.34632,,0.706,1.06,1.12815,5740,3.13296,1966.1,0.59,46.1042,1,RV
Kepler-298 d,Kepler-298,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-298,2014,0.0196646,0.223035,,,0.582,4465,0.355666,77.473633,,,3,Transit
Kepler-269 b,Kepler-269,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-269,2014,0.019315,0.220359,,,0.959,5847,0.0596916,5.326718,,,2,Transit
Kepler-248 b,Kepler-248,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-248,2014,0.0272098,0.269426,,,0.831,5190,0.0668155,6.308205,,,2,Transit
HD 181433 c,HD 181433,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+181433,2009,0.640416,,1.01,0.78,1.00831,4962,1.75604,962,0.28,26.7594,3,RV
70 Vir b,70 Vir,http://simbad.harvard.edu/simbad/sim-id?Ident=70+Vir,1996,7.46144,,0.714,1.101,1.59775,5544.6,0.483601,116.6884,0.4007,17.9856,1,RV
HD 102365 b,LHS 311,http://simbad.harvard.edu/simbad/sim-id?Ident=LHS+311,2011,0.0509774,,0.68,0.89,0.828702,5630,0.463328,122.1,0.34,9.22084,1,RV
BD -08 2823 b,G 162-12,http://simbad.harvard.edu/simbad/sim-id?Ident=G+162-12,2010,0.045941,,1.071,0.74,1.27853,4746,0.0558236,5.6,0.15,42.4989,2,RV
Kepler-160 b,Kepler-160,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-160,2014,0.0115417,0.13739,,,0.884,5857,0.0518266,4.309427,,,2,Transit
CoRoT-11 b,CoRoT-Exo-11b,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-Exo-11b,2010,2.34813,1.43,0.93,1.27,1.37,6440,0.0440549,2.99433,0,558.971,1,Transit
Kepler-369 c,Kepler-369,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-369,2014,0.00960182,0.125792,,,0.471,3591,0.118353,14.871572,,,2,Transit
Kepler-142 d,Kepler-142,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-142,2014,0.0161415,0.192702,,,1.269,5790,0.235751,41.809118,,,3,Transit
Kepler-398 b,Kepler-398,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-398,2014,0.00225059,0.082969,,,0.613,4493,0.0499821,4.081423,,,2,Transit
Kepler-443 b,KIC 11757451,http://simbad.harvard.edu/simbad/sim-id?Ident=KIC+11757451,2010,0.0177875,0.20787,,0.738,0.706,4723,0.558942,177.6693,0,779,1,Transit
Kepler-299 d,Kepler-299,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-299,2014,0.0136944,0.165938,,,1.032,5617,0.119323,15.054786,,,4,Transit
GJ 436 b,GJ 436,http://simbad.harvard.edu/simbad/sim-id?Ident=GJ+436,2004,0.0726979,0.3767,1.52,0.452,0.464,3350,0.0287188,2.64385,0.16,10.141,1,RV
Kepler-142 c,Kepler-142,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-142,2014,0.0245625,0.255152,,,1.269,5790,0.0553921,4.761702,,,3,Transit
Kepler-181 c,Kepler-181,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-181,2014,0.014692,0.177536,,,0.749,5333,0.0517683,4.302149,,,2,Transit
XO-2S b,TYC 3413-210-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+3413-210-1,2014,0.259,,,0.982,1.02,5399,0.134393,18.157,0.18,,2,RV
Kepler-364 b,Kepler-364,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-364,2014,0.011604,0.138282,,,1.284,6108,0.170638,25.745718,,,2,Transit
Kepler-173 c,Kepler-173,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-173,2014,0.0188614,0.21679,,,0.949,6031,0.0783205,8.005777,,,2,Transit
Kepler-290 b,Kepler-290,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-290,2014,0.0169862,0.200732,,,0.743,5147,0.11685,14.589347,,,2,Transit
WASP-37 b,GSC 00326-00658,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+00326-00658,2011,1.79362,1.16,0.6,0.925,1.003,5800,0.0446312,3.577469,0,343,1,Transit
Kepler-223 c,Kepler-223,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-223,2014,0.0147725,0.178428,,,1.017,5829,0.0899174,9.848183,,,4,Transit
HD 6718 b,G 270-148,http://simbad.harvard.edu/simbad/sim-id?Ident=G+270-148,2010,1.5591,,0.662,0.96,0.956629,5746,3.55427,2496,0.1,54.8546,1,RV
Kepler-224 e,Kepler-224,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-224,2014,0.0145328,0.175752,,,0.676,5018,0.137602,18.643577,,,4,Transit
Kepler-322 c,Kepler-322,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-322,2014,0.0123736,0.148987,,,0.89,5388,0.0520493,4.337234,,,2,Transit
HD 33636 b,HD 33636,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+33636,2002,9.26951,,0.588,1.017,1.03374,5904.28,3.26519,2127.7,0.4805,28.3688,1,RV
Kepler-163 c,Kepler-163,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-163,2014,0.0170837,0.201624,,,0.917,5776,0.150603,21.347262,,,2,Transit
HAT-P-40 b,TYC 3607-1028-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+3607-1028-1,2012,0.6202,1.73,0.84999,1.512,2.206,6080,0.060845,4.457243,0,501,1,Transit
HD 240237 b,HD 240237,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+240237,2012,5.31949,,1.682,1.69,,4361,1.91887,745.7,0.4,,1,RV
Kepler-169 f,Kepler-169,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-169,2014,0.0206381,0.230172,,,0.763,4997,0.38452,87.090195,,,5,Transit
Kepler-283 b,Kepler-283,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-283,2014,0.0158724,0.190026,,,0.566,4351,0.0968462,11.008151,,,2,Transit
rho CrB b,rho CrB,http://simbad.harvard.edu/simbad/sim-id?Ident=rho+CrB,1997,1.06409,,0.612,0.965,1.10084,5822.58,0.225692,39.8449,0.057,17.2354,1,RV
Kepler-214 b,Kepler-214,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-214,2014,0.0210192,0.232849,,,1.352,6169,0.122502,15.660544,,,2,Transit
Kepler-314 b,Kepler-314,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-314,2014,0.00150361,0.0740476,,,0.95,5378,0.0356743,2.461069,,,2,Transit
Kepler-188 c,Kepler-188,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-188,2014,0.0303861,0.284593,,,1.141,6021,0.0645963,5.996553,,,2,Transit
Kepler-233 b,Kepler-233,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-233,2014,0.0188614,0.21679,,,0.758,5360,0.0813349,8.472382,,,2,Transit
Kepler-118 b,Kepler-118,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-118,2014,0.014454,0.174859,,,1.094,5274,0.0751093,7.518496,,,2,Transit
Kepler-110 b,Kepler-110,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-110,2014,0.013476,0.163262,,,1.149,5960,0.106481,12.691112,,,2,Transit
HD 11977 b,HD 11977,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+11977,2005,7.40012,,0.931,2.31,8.14661,5067,2.063,711,0.4,67.0691,1,RV
HD 73534 b,HD 73534,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+73534,2009,1.06828,,0.962,1.17,2.90137,4884,3.0184,1770,0.074,81.0373,1,RV
Kepler-195 b,Kepler-195,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-195,2014,0.0150172,0.181104,,,0.775,5329,0.0802786,8.307872,,,2,Transit
Kepler-50 c,Kepler-50,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-50,2012,0.0234642,0.248685,0.48,1.23,1.88,6058,0.0932375,9.3761368,,,2,Transit
HD 164604 b,HD 164604,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+164604,2010,2.6885,,1.39,0.8,,,1.30299,606.4,0.24,41.0678,1,RV
Kepler-359 b,Kepler-359,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-359,2014,0.0380002,0.314926,,,1.086,6248,0.169831,25.563222,,,3,Transit
Kepler-359 d,Kepler-359,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-359,2014,0.0520795,0.357748,,,1.086,6248,0.354508,77.095691,,,3,Transit
Kepler-115 b,Kepler-115,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-115,2014,0.00396389,0.0972433,,,1.205,5979,0.0351175,2.403679,,,2,Transit
HD 37124 c,HD 37124,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+37124,2003,0.648109,,0.667,0.85,0.772275,5500.24,1.70993,885.5,0.125,33.67,3,RV
HD 217107 c,HD 217107,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+217107,2005,2.61546,,0.744,1.108,1.5,5704.36,5.33414,4270,0.517222,19.857,2,RV
HD 74156 b,HD 74156,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+74156,2004,1.77342,,0.585,1.238,1.345,6067.98,0.291535,51.638,0.63,64.433,2,RV
Kepler-180 b,Kepler-180,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-180,2014,0.0117855,0.133821,,,1.063,5731,0.11269,13.817124,,,2,Transit
HD 103774 b,HD 103774,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+103774,2013,0.368054,,0.49,1.335,1.43364,6489,0.070273,5.8881,0.09,55.4631,1,RV
Kepler-43 b,GSC 03541-00075,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+03541-00075,2011,3.23143,1.2,,1.32,1.42,6041,0.0449294,3.024095,0,1950,1,Transit
Kepler-76 b,Kepler-76,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-76,2013,1.96,,,1.12,1.12,6409,0.0271768,1.545,0,,1,Transit
Kepler-310 b,Kepler-310,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-310,2014,0.00538981,0.106165,,,0.876,5797,0.113307,13.930698,,,3,Transit
Kepler-222 c,Kepler-222,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-222,2014,0.0710944,0.413953,,,0.869,5433,0.0913762,10.08881,,,3,Transit
KELT-6 b,KELT-6,http://simbad.harvard.edu/simbad/sim-id?Ident=KELT-6,2014,0.43122,1.193,0.49,1.085,1.58,6102,0.0794132,7.8457,0.22,222,1,Transit
WASP-13 b,WASP-13,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-13,2009,0.473883,1.407,0.89,1.09,1.574,5950,0.0537034,4.3530135,0,155,1,Transit
Kepler-84 c,Kepler-84,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-84,2012,0.096,0.215,,1,1.43,5755,0.107552,12.883,,,5,Transit
HD 13931 b,HD 13931,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+13931,2010,1.88123,,0.64,1.022,1.22417,5829,5.14931,4218,0.02,44.2282,1,RV
Kepler-58 d,Kepler-58,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-58,2014,0.0258466,0.262289,,,1.127,6099,0.229287,40.101371,,,3,Transit
HAT-P-18 b,GSC 02594-00646,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+02594-00646,2011,0.197205,0.995,,0.77,0.749,4803,0.0559503,5.508023,0.084,166,1,Transit
Kepler-357 b,Kepler-357,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-357,2014,0.0135483,0.164154,,,0.834,5036,0.0679912,6.475434,,,3,Transit
Kepler-406 c,KOI-321,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-321,2014,0.00857506,0.0758319,,1.07,1.07,5538,0.0555527,4.62332,0,,2,Transit
HD 155358 c,HD 155358,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+155358,2007,0.807031,,0.545,0.87,1.49875,5760,1.00082,391.9,0.16,44.1112,2,RV
WASP-43 b,WASP-43,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-43,2011,1.77609,0.93,1,0.58,0.598,4400,0.0142363,0.813475,0,80,1,Transit
